English	English Meaning	English Example	Spanish	Pronunciation Hint	Spanish Meaning	Spanish Example	Spanish Meaning (English)	Spanish Example (English)	Spanish Article	Spanish Gender	Spanish Number	Spanish Part of Speech	Spanish Forms	Notes	Status	Source Deck	Source Card	Tags
enlarge	To enlarge something means to make it bigger.	The classrooms were enlarged over the summer to make room for more students.	agrandar	a-gran-DAR	Agrandar algo significa hacerlo más grande.	Las aulas se agrandaron en verano para caber más estudiantes.	To enlarge something means to make it bigger.	The classrooms were enlarged over the summer to make room for more students.				verb	infinitive: agrandar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
excess	An excess is an amount of something that is more than needed or wanted.	Because it never got cold that winter, many stores had an excess of coats.	el exceso	el e-XSE-so	Un exceso es una cantidad mayor de la necesaria o deseada.	Ese invierno muchas tiendas tuvieron un exceso de abrigos.	An excess is an amount of something that is more than needed or wanted.	Because it never got cold that winter, many stores had an excess of coats.	el	masculine	singular	noun	singular: el exceso; plural: los excesos		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
feminine	If something is feminine, then it has qualities that are commonly related to women.	Many of the older people thought his long hair made him look too feminine.	femenino	fe-me-NI-no	Femenino significa tener cualidades que se asocian comúnmente con mujeres.	Muchos pensaban que su cabello largo lo hacía parecer demasiado femenino.	If something is feminine, then it has qualities that are commonly related to women.	Many of the older people thought his long hair made him look too feminine.							reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
hierarchy	A hierarchy is a system of things or people ranked one above the other.	Everyone knows where they fit in the hierarchy.	la jerarquía	la he-rar-KIA	Una jerarquía es un sistema de personas u objetos ordenados de mayor a menor.	Todos saben en qué lugar están dentro de la jerarquía.	A hierarchy is a system of things or people ranked one above the other.	Everyone knows where they fit in the hierarchy.	la	feminine	singular	noun	singular: la jerarquía; plural: las jerarquías		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
pad	A pad is a thick piece of soft material used to protect or clean things.	Football players wear shoulder pads to keep them safe.	la almohadilla	la al-mo-a-DIL-la	Una almohadilla es una pieza blanda y gruesa para proteger o limpiar.	Los jugadores de fútbol americano usan hombreras para protegerse.	A pad is a thick piece of soft material used to protect or clean things.	Football players wear shoulder pads to keep them safe.	la	feminine	singular	noun	singular: la almohadilla; plural: las almohadillas		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
partner	Your partner is someone who lives or works with you as an equal.	Ladies and gentlemen, take your partners for the next dance.	pareja	pa-RE-ha	Tu pareja es alguien que vive o trabaja contigo como igual.	Buenas noches, tomen a sus parejas para el próximo baile.	Your partner is someone who lives or works with you as an equal.	Ladies and gentlemen, take your partners for the next dance.							reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
predominant	If something is predominant, then it is the most important, common, or strongest.	Before cars were invented, horses were the predominant method of travel.	predominante	pre-do-mi-NAN-te	Predominante significa lo más importante, común o fuerte.	Antes de que inventaran los autos, los caballos eran el método predominante de viaje.	If something is predominant, then it is the most important, common, or strongest.	Before cars were invented, horses were the predominant method of travel.							reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
protocol	Protocol is a system of rules and customs that guides how things are done.	The introduction of the guests followed the normal protocol.	el protocolo	el pro-to-KO-lo	El protocolo es un sistema de reglas y costumbres que guía cómo se hacen las cosas.	La llegada de los huéspedes siguió el protocolo normal.	Protocol is a system of rules and customs that guides how things are done.	The introduction of the guests followed the normal protocol.	el	masculine	singular	noun	singular: el protocolo; plural: los protocolos		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
reputable	If someone or something is reputable, then they have a good reputation.	The service from the less-than-reputable company made her angry.	de buena reputación	DE BUE-na re-pu-ta-SION	Alguien o algo de buena reputación es respetado y confiable.	El servicio de la empresa de mala reputación la enfadó.	If someone or something is reputable, then they have a good reputation.	The service from the less-than-reputable company made her angry.							reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
signify	To signify means to be a symbol of something.	A red octagon is used to signify a place to stop.	significar	si-gni-fi-KAR	Significar es representar una idea, señal o sentido.	Un octágono rojo se usa para indicar una zona de alto.	To signify means to be a symbol of something.	A red octagon is used to signify a place to stop.				verb	infinitive: significar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
strap	A strap is a thin long piece of fabric used to fasten, carry, or hold something.	She put the strap of her purse over her shoulder and walked out the door.	la correa	la KOR-rea	Una correa es una tira fina de tela o material para sujetar o sostener algo.	Ella puso la correa de su bolso sobre el hombro y salió.	A strap is a thin long piece of fabric used to fasten, carry, or hold something.	She put the strap of her purse over her shoulder and walked out the door.	la	feminine	singular	noun	singular: la correa; plural: las correas		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
style	Your style is the way you do things.	Her clothes were all in the latest style.	estilo	es-TI-lo	El estilo es la manera en que haces las cosas.	Su ropa estaba en el estilo más moderno.	Your style is the way you do things.	Her clothes were all in the latest style.							reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
tangle	A tangle is something or many things twisted together.	The laces of his shoes were in such a tangle that he could not untie them.	el enredo	el en-RE-do	Un enredo es algo o muchas cosas enredadas juntas.	Los cordones de sus zapatos estaban en un gran enredo.	A tangle is something or many things twisted together.	The laces of his shoes were in such a tangle that he could not untie them.	el	masculine	singular	noun	singular: el enredo; plural: los enredos		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
vanity	Vanity is excessive pride or love of one’s own appearance or things one has done.	Her vanity won’t allow her to pass a mirror without looking at herself.	la vanidad	la ba-ni-DAD	La vanidad es orgullo excesivo por la propia apariencia o logros.	Su vanidad no la deja pasar ante un espejo sin mirarse.	Vanity is excessive pride or love of one’s own appearance or things one has done.	Her vanity won’t allow her to pass a mirror without looking at herself.	la	feminine	singular	noun	singular: la vanidad; plural: las vanidades		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
ashore	If something goes ashore, it goes from the water to the land.	After a long day of fishing, Glen pulled his boat ashore, so it wouldn’t float away.	a la orilla	A la o-RIL-la	A la orilla significa pasar del agua a tierra firme.	Tras un día de pesca, Glen llevó su bote a la orilla para que no se fuera.	If something goes ashore, it goes from the water to the land.	After a long day of fishing, Glen pulled his boat ashore, so it wouldn’t float away.							reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
contradict	To contradict means to state the opposite of what someone else has said.	Ken was always fighting with his little sister because she kept contradicting him.	contradecir	kon-tra-de-SIR	Contradecir significa decir lo contrario de lo que otra persona dijo.	Ken siempre peleaba con su hermana porque ella lo contradijo.	To contradict means to state the opposite of what someone else has said.	Ken was always fighting with his little sister because she kept contradicting him.				verb	infinitive: contradecir; -ir pattern: yo -o; tú -es; él/ella -e; nosotros -imos; ellos -en; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
counterpart	A counterpart is something that is very similar to something else in what it does.	Our manager will meet our rival company’s counterpart later today.	el homólogo	el o-MO-lo-go	Un homólogo es algo muy similar a algo más en función.	Más tarde hoy se reunirá con el homólogo de la empresa rival.	A counterpart is something that is very similar to something else in what it does.	Our manager will meet our rival company’s counterpart later today.	el	masculine	singular	noun	singular: el homólogo; plural: los homólogos		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
devoid	When something or someone is devoid of a thing, they are missing it.	The movie was devoid of any violence, so it was a perfect movie for the family.	carente	ka-REN-te	Cuando alguien o algo está carente de algo, le falta ese algo.	La película estaba carente de violencia, así que era ideal para la familia.	When something or someone is devoid of a thing, they are missing it.	The movie was devoid of any violence, so it was a perfect movie for the family.							reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
diverge	To diverge is to become different or to follow a different direction.	The road diverged into two paths that led to our houses.	divergir	di-ber-HIR	Divergir es alejarse de una dirección apropiada.	El camino se dividió en dos rutas que conducían a nuestras casas.	To diverge is to become different or to follow a different direction.	The road diverged into two paths that led to our houses.				verb	infinitive: divergir; -ir pattern: yo -o; tú -es; él/ella -e; nosotros -imos; ellos -en; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
embryo	An embryo is a human or animal that is still growing inside its mother.	Some doctors say that what a mother eats has a big effect on her embryo.	el embrión	el em-BRION	Un embrión es un ser humano o animal que todavía crece en la madre.	Algunos médicos dicen que lo que come la madre afecta mucho a su embrión.	An embryo is a human or animal that is still growing inside its mother.	Some doctors say that what a mother eats has a big effect on her embryo.	el	masculine	singular	noun	singular: el embrión; plural: los embriones		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
finally	When something finally happens, it happens at the end of a series of events.	We finally reached our destination.	finalmente	fi-nal-MEN-te	Finalmente significa que algo ocurre al final de una serie de eventos.	Finalmente llegamos a nuestro destino.	When something finally happens, it happens at the end of a series of events.	We finally reached our destination.							reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
gazette	A gazette is a newspaper.	Alice wants to write for a gazette when she’s older.	la gaceta	la ga-SE-ta	Una gaceta es un periódico.	Alice quiere escribir para una gaceta cuando sea mayor.	A gazette is a newspaper.	Alice wants to write for a gazette when she’s older.	la	feminine	singular	noun	singular: la gaceta; plural: las gacetas		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
homogeneous	If something is homogeneous, it is made up of things which are all the same.	All of the houses on Victor’s block were boring and homogenous.	homogéneo	o-mo-HE-neo	Homogéneo significa que está hecho de cosas todas iguales.	Todas las casas de la calle de Victor eran aburridas y homogéneas.	If something is homogeneous, it is made up of things which are all the same.	All of the houses on Victor’s block were boring and homogenous.							reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
individual	An individual is a single member of a group.	Each individual is responsible for themselves.	el individuo	el in-di-BI-duo	Un individuo es un miembro de un grupo.	Cada individuo es responsable de sí mismo.	An individual is a single member of a group.	Each individual is responsible for themselves.	el	masculine	singular	noun	singular: el individuo; plural: los individuos		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
major	A major event is a very important event.	There had been a major shift in government policy.	mayor	ma-YOR	Algo mayor es muy importante o grande.	Hubo un cambio mayor en la política gubernamental.	A major event is a very important event.	There had been a major shift in government policy.							reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
obstruct	To obstruct something means to get in its way.	The car broke down on the road and obstructed traffic for hours.	obstruir	o-BSTRUIR	Obstruir algo significa estorbar su camino.	El coche se descompuso y obstruyó el tráfico durante horas.	To obstruct something means to get in its way.	The car broke down on the road and obstructed traffic for hours.				verb	infinitive: obstruir; -ir pattern: yo -o; tú -es; él/ella -e; nosotros -imos; ellos -en; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
plunge	To plunge means to move down into something very quickly.	The water in the pool was very cold, but the boy plunged in anyway.	sumergirse	su-mer-HIR-se	Sumergirse es moverse rápidamente hacia abajo o dentro de algo.	El agua de la piscina estaba muy fría, pero el niño se sumergió de todas formas.	To plunge means to move down into something very quickly.	The water in the pool was very cold, but the boy plunged in anyway.							reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
prolong	To prolong means to make something last for a longer time.	Sandy walked slowly across the beach, trying to prolong her lunch break.	prolongar	pro-lon-GAR	Prolongar significa hacer que algo dure más tiempo.	Sandy caminó lento por la playa para prolongar su receso.	To prolong means to make something last for a longer time.	Sandy walked slowly across the beach, trying to prolong her lunch break.				verb	infinitive: prolongar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
publicize	To publicize is to make something get a lot of attention.	The company publicized the job positions in the newspaper.	publicitar	pu-bli-si-TAR	Publicitar es hacer que algo reciba mucha atención.	La empresa publicitó las vacantes de trabajo en el periódico.	To publicize is to make something get a lot of attention.	The company publicized the job positions in the newspaper.				verb	infinitive: publicitar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
surplus	A surplus is an extra amount of something.	The store sold their surplus items on sale.	excedente	e-xse-DEN-te	Un excedente es una cantidad extra de algo.	La tienda vendió sus productos excedentes con descuento.	A surplus is an extra amount of something.	The store sold their surplus items on sale.							reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
survive	When something survives, it manages to continue to live in spite of difficult circumstances.	She survived a heart attack.	sobrevivir	so-bre-bi-BIR	Sobrevivir significa continuar viviendo pese a dificultades.	Ella sobrevivió a un infarto.	When something survives, it manages to continue to live in spite of difficult circumstances.	She survived a heart attack.				verb	infinitive: sobrevivir; -ir pattern: yo -o; tú -es; él/ella -e; nosotros -imos; ellos -en; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
theorize	To theorize means to develop ideas about something.	They enjoyed theorizing about how things worked.	teorizar	teo-ri-SAR	Teorizar significa desarrollar ideas sobre algo.	Disfrutaron teorizar sobre cómo funcionaban las cosas.	To theorize means to develop ideas about something.	They enjoyed theorizing about how things worked.				verb	infinitive: teorizar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
verify	To verify means to find out if something is true.	Julian called the movie theater to verify that the movie started at nine.	verificar	be-ri-fi-KAR	Verificar significa averiguar si algo es cierto.	Julio llamó al cine para verificar que la función empezaba a las nueve.	To verify means to find out if something is true.	Julian called the movie theater to verify that the movie started at nine.				verb	infinitive: verificar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
vigorous	If something or someone is vigorous, they use a lot of energy.	Henry uses vigorous exercise to keep himself in shape.	vigoroso	bi-go-RO-so	Vigoroso significa usar mucha energía.	Henry hace ejercicio vigoroso para mantenerse en forma.	If something or someone is vigorous, they use a lot of energy.	Henry uses vigorous exercise to keep himself in shape.							reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
altar	An altar is a table used in churches.	The altar had many lit candles on it.	altar	al-TAR	Un altar es una mesa usada en iglesias.	El altar tenía muchas velas encendidas.	An altar is a table used in churches.	The altar had many lit candles on it.				verb	infinitive: altar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
arthritis	Arthritis is an illness causing pain and swelling in a person’s joints.	Agatha couldn’t play the piano anymore because of her arthritis.	el artritis	el ar-TRI-tis	La artritis es una enfermedad que causa dolor y hinchazón en las articulaciones.	Agatha no pudo tocar el piano por su artritis.	Arthritis is an illness causing pain and swelling in a person’s joints.	Agatha couldn’t play the piano anymore because of her arthritis.	el	masculine	singular	noun	singular: el artritis; plural: los artritis		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
botany	Botany is the study of plants.	Gardens are the best places for botany.	la botánica	la bo-TA-ni-ka	La botánica es el estudio de las plantas.	Los jardines son los mejores lugares para la botánica.	Botany is the study of plants.	Gardens are the best places for botany.	la	feminine	singular	noun	singular: la botánica; plural: las botánicas		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
credible	If something or someone is credible, they can be believed or trusted.	Dick gave a credible reason for being late and didn’t get in any trouble.	creíble	KREI-ble	Creíble significa que puede creerse o confiarse.	Dick dio un motivo creíble por llegar tarde y no recibió problemas.	If something or someone is credible, they can be believed or trusted.	Dick gave a credible reason for being late and didn’t get in any trouble.							reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
deceased	If someone is deceased, they are dead.	We visited the graves of our deceased grandparents.	fallecido	fal-le-SI-do	Fallecido significa que alguien está muerto.	Visitamos las tumbas de nuestros abuelos fallecidos.	If someone is deceased, they are dead.	We visited the graves of our deceased grandparents.							reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
deception	Deception is the act of lying or tricking someone.	The magic looked very real, but it was only deception.	el engaño	el en-GA-nyo	El engaño es el acto de mentir o engañar a alguien.	La magia parecía real, pero era solo un engaño.	Deception is the act of lying or tricking someone.	The magic looked very real, but it was only deception.	el	masculine	singular	noun	singular: el engaño; plural: los engaños		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
document	A document is a written text, usually not in the form of a book.	Please scan this document so we have an electronic copy.	el documento	el do-ku-MEN-to	Un documento es un texto escrito, que generalmente no es un libro.	Escanea ese documento para que tengamos copia electrónica.	A document is a written text, usually not in the form of a book.	Please scan this document so we have an electronic copy.	el	masculine	singular	noun	singular: el documento; plural: los documentos		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
dung	Dung is solid waste material produced by animals.	There was cow dung all over the field.	el estiércol	el es-TIER-kol	El estiércol es material sólido de desecho producido por animales.	Había estiércol de vaca en todo el campo.	Dung is solid waste material produced by animals.	There was cow dung all over the field.	el	masculine	singular	noun	singular: el estiércol; plural: los estiercoles		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
dusk	Dusk is the time in the evening when it begins to get dark.	After dusk, Hannah went to catch fireflies in the park.	anochecer	a-no-çe-SER	El anochecer es la hora de la tarde en que empieza a oscurecer.	Después del anochecer, Hannah salió a cazar luciérnagas al parque.	Dusk is the time in the evening when it begins to get dark.	After dusk, Hannah went to catch fireflies in the park.				verb	infinitive: anochecer; -er pattern: yo -o; tú -es; él/ella -e; nosotros -emos; ellos -en; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
gratify	To gratify someone means to please them.	Bonnie was gratified after receiving her gift from her parents.	gratificar	gra-ti-fi-KAR	Gratificar a alguien significa darle satisfacción.	Bonnie quedó gratificada al recibir su regalo de los padres.	To gratify someone means to please them.	Bonnie was gratified after receiving her gift from her parents.				verb	infinitive: gratificar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
hone	To hone something is to improve it and make it very good.	Lisa honed her chess skills through hours and hours of practice.	pulir	pu-LIR	Pulir algo significa mejorarlo y hacerlo excelente.	Lisa pulió sus habilidades de ajedrez durante muchas horas de práctica.	To hone something is to improve it and make it very good.	Lisa honed her chess skills through hours and hours of practice.				verb	infinitive: pulir; -ir pattern: yo -o; tú -es; él/ella -e; nosotros -imos; ellos -en; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
interpret	When you interpret something, you find its meaning, often by changing it into a different language.	It is difficult to interpret while someone is speaking.	interpretar	in-ter-pre-TAR	Interpretar algo significa encontrar su significado, a menudo cambiándolo de idioma.	Es difícil interpretar mientras alguien esté hablando.	When you interpret something, you find its meaning, often by changing it into a different language.	It is difficult to interpret while someone is speaking.				verb	infinitive: interpretar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
motive	Your motive is your reason for doing something.	We can show he had a motive to commit the crime, but we cannot show he did it.	motivo	mo-TI-bo	El motivo es la razón para hacer algo.	Podemos mostrar que tenía un motivo para cometer el crimen, pero no probar que lo hizo.	Your motive is your reason for doing something.	We can show he had a motive to commit the crime, but we cannot show he did it.							reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
pneumonia	Pneumonia is a dangerous illness causing the lungs to fill with liquid.	Elaine got pneumonia after playing outside in the rain without a coat.	la neumonía	la neu-mo-NIA	La neumonía es una enfermedad grave que llena los pulmones de líquido.	Elaine contrajo neumonía tras jugar bajo la lluvia sin abrigo.	Pneumonia is a dangerous illness causing the lungs to fill with liquid.	Elaine got pneumonia after playing outside in the rain without a coat.	la	feminine	singular	noun	singular: la neumonía; plural: las neumonías		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
psychic	When someone is psychic, they know what will happen or what people think.	I think my grandmother has psychic abilities because she can predict anything.	psíquico	PSI-ki-ko	Psíquico es alguien que sabe lo que ocurrirá o piensa la gente.	Creo que mi abuela tiene capacidades psíquicas porque predice mucho.	When someone is psychic, they know what will happen or what people think.	I think my grandmother has psychic abilities because she can predict anything.							reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
psychotic	If someone is psychotic, they have a very serious mental illness.	The psychotic patient believed he saw things that weren’t real.	psicótico	psi-KO-ti-ko	Psicótico se refiere a una enfermedad mental muy grave.	El paciente psicótico creía ver cosas que no eran reales.	If someone is psychotic, they have a very serious mental illness.	The psychotic patient believed he saw things that weren’t real.							reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
scope	The scope of something is how many people or things it relates to.	Modern history has a wide scope.	alcance	al-KAN-se	El alcance de algo es a cuántas personas o cosas afecta.	La historia moderna tiene un alcance amplio.	The scope of something is how many people or things it relates to.	Modern history has a wide scope.							reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
sinister	If something or someone is sinister, they are evil.	Bad guys in most movies have sinister laughs.	siniestro	si-NIES-tro	Siniestro significa malvado o amenazador.	Los villanos suelen tener risas siniestras en las películas.	If something or someone is sinister, they are evil.	Bad guys in most movies have sinister laughs.							reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
strife	Strife is disagreement or fighting between people or groups.	There was a lot of strife between Jim and Lisa about what TV show to watch.	el conflicto	el kon-FLI-kto	El conflicto es el desacuerdo o pelea entre personas o grupos.	Había mucha riña entre Jim y Lisa por qué programa ver.	Strife is disagreement or fighting between people or groups.	There was a lot of strife between Jim and Lisa about what TV show to watch.	el	masculine	singular	noun	singular: el conflicto; plural: los conflictos		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
text	Text is language used in communicating messages.	Spoken text has many features which are different from written text.	el texto	el TE-xto	El texto es el lenguaje usado para comunicarse en mensajes.	El texto hablado tiene características distintas al texto escrito.	Text is language used in communicating messages.	Spoken text has many features which are different from written text.	el	masculine	singular	noun	singular: el texto; plural: los textos		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
artery	An artery is a tube that takes blood from the heart to the rest of the body.	Eating healthily keeps your arteries clean so blood can flow with ease.	la arteria	la ar-TE-ria	Una arteria es un conducto que lleva sangre del corazón al resto del cuerpo.	Comer sano mantiene las arterias limpias para que la sangre fluya con facilidad.	An artery is a tube that takes blood from the heart to the rest of the body.	Eating healthily keeps your arteries clean so blood can flow with ease.	la	feminine	singular	noun	singular: la arteria; plural: las arterias		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
deterioration	Deterioration is the act of becoming worse.	The lack of care led to the deterioration of the house.	el deterioro	el de-te-RIO-ro	Deterioro es el proceso por el que algo pierde calidad o empeora.	La falta de cuidado llevó al deterioro de la casa.	Deterioration is the act of becoming worse.	The lack of care led to the deterioration of the house.	el	masculine	singular	noun	singular: el deterioro; plural: los deterioros		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
elusive	If things or people are elusive, they are hard to find.	The elusive fish only came out at night.	esquivo	es-KI-bo	Esquivo significa difícil de encontrar.	El pez esquivo solo salía de noche.	If things or people are elusive, they are hard to find.	The elusive fish only came out at night.							reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
ensure	When you ensure something, you make sure it happens.	Saving now will ensure we have enough money for our retirement.	asegurar	a-se-gu-RAR	Asegurar algo significa hacer que suceda.	Ahorrar ahora asegurará tener suficiente dinero para la jubilación.	When you ensure something, you make sure it happens.	Saving now will ensure we have enough money for our retirement.				verb	infinitive: asegurar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
induce	To induce something means to make it happen.	Running without good shoes may induce leg pain.	inducir	in-du-SIR	Inducir algo significa hacer que ocurra.	Correr sin buenos zapatos puede inducir dolor de piernas.	To induce something means to make it happen.	Running without good shoes may induce leg pain.				verb	infinitive: inducir; -ir pattern: yo -o; tú -es; él/ella -e; nosotros -imos; ellos -en; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
inseparable	If two things are inseparable, they can’t be separated.	Denise and Diana have been inseparable since they first met.	inseparable	in-se-pa-RA-ble	Dos cosas inseparables no se pueden separar.	Denise y Diana han sido inseparables desde que se conocieron.	If two things are inseparable, they can’t be separated.	Denise and Diana have been inseparable since they first met.							reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
invalid	If something is invalid, it is not correct.	The way to winning debates is to avoid invalid arguments.	inválido	in-BA-li-do	Inválido significa no correcto.	Usar argumentos inválidos hace que pierdas una discusión.	If something is invalid, it is not correct.	The way to winning debates is to avoid invalid arguments.							reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
magnify	To magnify something means to make it look bigger than it really is.	Astronomers use telescopes to magnify faraway stars.	magnificar	ma-gni-fi-KAR	Magnificar algo significa hacerlo ver más grande de lo que es.	Los astrónomos usan telescopios para magnificar estrellas lejanas.	To magnify something means to make it look bigger than it really is.	Astronomers use telescopes to magnify faraway stars.				verb	infinitive: magnificar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
mainstream	The mainstream is what is considered normal and accepted by most people.	Before punk rock music became part of the mainstream, only a few people liked it.	corriente principal	kor-RIEN-te prin-si-PAL	La corriente principal es lo que se considera normal y aceptado por la mayoría.	Antes de que el punk rock fuera mainstream, pocos lo escuchaban.	The mainstream is what is considered normal and accepted by most people.	Before punk rock music became part of the mainstream, only a few people liked it.							reviewed	4000 Essential English Words::4.Book		spanish from_4000_english 4000_essential_english_words_4_book reviewed
