#separator:tab
#html:true
SourceID	Level	Phrase	Front	FrontHTML	Meaning	Examples	Tags
en_phrase_193_in_real_time	level_4	in real time	The dashboard updates in real time, so the support team can react immediately.	"The dashboard updates <span class=""target-phrase"">in real time</span>, so the support team can react immediately."	Available as it happens, without delay.	- The moderator monitored comments in real time and removed harmful posts quickly.<br>- A translator app in real time helped with the client call.<br>- The dashboard tracks delivery delays in real time during peak traffic.	english_phrases natural_phrases level_4 natural phrase in_real_time
en_phrase_194_in_this_line_of_work	level_4	in this line of work	In this line of work, trust is built through reliable delivery and clear communication.	"<span class=""target-phrase"">In this line of work</span>, trust is built through reliable delivery and clear communication."	Common expectation or standard within a specific profession.	- Editors in this line of work often refuse to work without a second proofread.<br>- In this line of work, missing a deadline usually means restarting the client conversation.<br>- New developers in this line of work learn incident escalation before they touch production.	english_phrases natural_phrases level_4 natural phrase in_this_line_of_work
en_phrase_195_at_the_top_of_the_line	level_4	top of the line	That camera is top of the line for low-light photography.	"That camera is <span class=""target-phrase"">top of the line</span> for low-light photography."	Among the highest quality or most advanced options available.	- The hospital bought top-of-the-line scanners for the new wing.<br>- This laptop is top of the line, but it may be more than we need.<br>- Their top-of-the-line plan includes priority support.	english_phrases natural_phrases level_4 natural phrase top_of_the_line
en_phrase_196_at_the_heart_of	level_4	at the heart of	That contradiction is at the heart of the hiring debate, not a minor issue.	"That contradiction is <span class=""target-phrase"">at the heart of</span> the hiring debate, not a minor issue."	The central cause or main point behind a larger matter.	- The issue at the heart of the merger was data ownership.<br>- Trust is at the heart of any long-term partnership.<br>- Her argument missed the point because she ignored what was at the heart of the complaint.	english_phrases natural_phrases level_4 natural phrase at_the_heart_of
en_phrase_197_at_the_right_time	level_4	at the right time	If you launch at the right time, retention improves naturally.	"If you launch <span class=""target-phrase"">at the right time</span>, retention improves naturally."	When the timing is suitable and likely to be effective.	- The chef moved the interview to a quieter hour at the right time.<br>- We sent the invoice at the right time, before the budget window closed.<br>- A small reminder at the right time can prevent most support tickets.	english_phrases natural_phrases level_4 natural phrase at_the_right_time
en_phrase_198_at_the_right_place	level_4	in the right place	The backup link is in the right place where new users can find it.	"The backup link is <span class=""target-phrase"">in the right place</span> where new users can find it."	Located where it is useful, expected, or appropriate.	- Keep the first-aid kit in the right place near the exit.<br>- The file was in the right place in the shared drive.<br>- A reminder in the right place can prevent many support tickets.	english_phrases natural_phrases level_4 natural phrase in_the_right_place
en_phrase_199_on_the_table	level_4	on the table	The topic of delayed reimbursement is back on the table for this quarter.	"The topic of delayed reimbursement is back <span class=""target-phrase"">on the table</span> for this quarter."	A subject is currently being discussed and considered.	- The idea of remote work came back on the table after the incident.<br>- Salary bands are on the table, but the dates are not.<br>- The contractor kept the delivery issue on the table until it was resolved.	english_phrases natural_phrases level_4 natural phrase on_the_table
en_phrase_200_on_the_ground	level_4	on the ground	real progress can only be verified on the ground, not in the slide deck.	"real progress can only be verified <span class=""target-phrase"">on the ground</span>, not in the slide deck."	In real-world, practical conditions rather than theory.	- The NGO trained teams on the ground before shipping supplies.<br>- Policy looked good, but on the ground the equipment was arriving broken.<br>- We verified the service availability on the ground using two field agents.	english_phrases natural_phrases level_4 natural phrase on_the_ground
en_phrase_201_on_the_horizon	level_4	on the horizon	A new subsidy could be on the horizon if the vote passes next week.	"A new subsidy could be <span class=""target-phrase"">on the horizon</span> if the vote passes next week."	Likely to happen soon or be expected in the near future.	- A major update is on the horizon for the mobile app.<br>- The storm moved on the horizon before the city issued an alert.<br>- New pricing was on the horizon after the pilot results came in.	english_phrases natural_phrases level_4 natural phrase on_the_horizon
en_phrase_202_on_demand	level_4	on demand	The mentor is available on demand when your study group gets stuck.	"The mentor is available <span class=""target-phrase"">on demand</span> when your study group gets stuck."	Whenever needed, immediately requested, not scheduled.	- The server scales on demand when user traffic spikes.<br>- The driver came on demand during the weekend shift.<br>- Our cloud scripts can generate report snapshots on demand for the finance team.	english_phrases natural_phrases level_4 natural phrase on_demand
en_phrase_203_on_hold	level_4	on hold	The invoice is on hold until accounting confirms the tax number.	"The invoice is <span class=""target-phrase"">on hold</span> until accounting confirms the tax number."	Temporarily paused or waiting for another action.	- The campaign is on hold while legal reviews the copy.<br>- We kept the account on hold after suspicious activity appeared.<br>- New hires are on hold until background checks are cleared.	english_phrases natural_phrases level_4 natural phrase on_hold
en_phrase_204_in_light_of	level_4	in light of	In light of recent outages, we moved the release to next Monday.	"<span class=""target-phrase"">In light of</span> recent outages, we moved the release to next Monday."	Considering a specific context or new information when making a decision.	- In light of the weather forecast, we canceled the outdoor event.<br>- The doctor prescribed a lighter schedule in light of her recent fatigue.<br>- In light of last year's errors, we added a second review step.	english_phrases natural_phrases level_4 natural phrase in_light_of
en_phrase_205_in_contrast_with	level_4	in contrast with	In contrast with our old workflow, this version is much faster.	"<span class=""target-phrase"">In contrast with</span> our old workflow, this version is much faster."	Used to highlight a comparison between two things.	- In contrast with last quarter, churn dropped after we changed pricing.<br>- Her report was upbeat, in contrast with the team's earlier concerns.<br>- In contrast with theory, the client expected faster setup.	english_phrases natural_phrases level_4 natural phrase in_contrast_with
en_phrase_206_in_no_way	level_4	in no way	I can in no way recommend that shortcut for security work.	"I can <span class=""target-phrase"">in no way</span> recommend that shortcut for security work."	A strong way to deny or reject something completely.	- We can in no way share this list outside the group.<br>- The candidate was in no way prepared for a live demo.<br>- This result in no way proves that the method is safe.	english_phrases natural_phrases level_4 natural phrase in_no_way
en_phrase_207_without_a_doubt	level_4	without a doubt	The project passed quality checks without a doubt.	"The project passed quality checks <span class=""target-phrase"">without a doubt</span>."	With complete certainty and no hesitation.	- The diagnosis was correct without a doubt after repeated testing.<br>- Her fluency made the presentation sound without a doubt top-notch.<br>- The team was without a doubt the only one with the data source needed.	english_phrases natural_phrases level_4 natural phrase without_a_doubt
en_phrase_208_in_effect	level_4	in effect	The memo is in effect starting tomorrow, including the updated reimbursement rules.	"The memo is <span class=""target-phrase"">in effect</span> starting tomorrow, including the updated reimbursement rules."	Currently active and producing real-world effect.	- The policy is in effect even though it was not yet in the handbook.<br>- Once the patch was in effect, error rates dropped in all regions.<br>- His apology was in effect a reset of the relationship, and they worked again.	english_phrases natural_phrases level_4 natural phrase in_effect
en_phrase_209_in_practice	level_4	in practice	In practice, we review every pull request before merging.	"<span class=""target-phrase"">In practice</span>, we review every pull request before merging."	How something actually works when performed day-to-day.	- The idea sounded good in theory, but in practice the training took longer.<br>- She tested the app in practice across three screen sizes before release.<br>- In practice, the receptionist handles most support follow-ups manually.	english_phrases natural_phrases level_4 natural phrase in_practice
en_phrase_210_in_principle	level_4	in principle	The idea is in principle acceptable, though we still need details.	"The idea is <span class=""target-phrase"">in principle</span> acceptable, though we still need details."	Generally agreed in theory but not necessarily applied yet.	- The policy is in principle fair, but the procedure is too slow.<br>- She is in principle open to remote work, but final details are pending.<br>- The plan is in principle approved, subject to budget confirmation.	english_phrases natural_phrases level_4 natural phrase in_principle
en_phrase_211_in_full	level_4	in full	The invoice was paid in full before production started.	"The invoice was paid <span class=""target-phrase"">in full</span> before production started."	Completely, with nothing missing or unpaid.	- Please read the policy in full before signing.<br>- The refund was issued in full after the cancellation.<br>- She answered the question in full, including the legal details.	english_phrases natural_phrases level_4 natural phrase in_full
en_phrase_212_in_the_process	level_4	in the process	He learned the reporting system in the process of shadowing me.	"He learned the reporting system <span class=""target-phrase"">in the process</span> of shadowing me."	During or as part of an ongoing sequence of actions.	- The assistant picked up three new skills in the process of project onboarding.<br>- We found the delay in the process when approvals stacked up.<br>- She became a better presenter in the process of leading the weekly standup.	english_phrases natural_phrases level_4 natural phrase in_the_process
en_phrase_213_in_full_swing	level_4	in full swing	By Friday, the kitchen renovation was in full swing.	"By Friday, the kitchen renovation was <span class=""target-phrase"">in full swing</span>."	Operating with full activity or intensity.	- The conference was in full swing by the time we arrived.<br>- Hiring is in full swing now that the budget is approved.<br>- The debate was in full swing before the keynote resumed.	english_phrases natural_phrases level_4 natural phrase in_full_swing
en_phrase_214_in_the_first_instance	level_4	in the first instance	We should contact the warehouse in the first instance and escalate only if needed.	"We should contact the warehouse <span class=""target-phrase"">in the first instance</span> and escalate only if needed."	At the initial step, before further actions.	- I should mention this in the first instance to avoid confusion later.<br>- The lab called the supplier in the first instance when the samples were delayed.<br>- In the first instance, we assumed the issue was network lag.	english_phrases natural_phrases level_4 natural phrase in_the_first_instance
en_phrase_215_in_the_course_of	level_4	in the course of	I noticed the issue in the course of a routine audit.	"I noticed the issue <span class=""target-phrase"">in the course of</span> a routine audit."	During the progress of a process or over a period.	- In the course of the workshop, everyone drafted a fallback plan.<br>- We found the data mismatch in the course of monthly reporting.<br>- The team rebuilt the workflow in the course of migrating servers.	english_phrases natural_phrases level_4 natural phrase in_the_course_of
en_phrase_216_in_a_bid_to	level_4	in a bid to	The mayor announced the changes in a bid to improve safety quickly.	"The mayor announced the changes <span class=""target-phrase"">in a bid to</span> improve safety quickly."	In an attempt to achieve a specific goal.	- The library opened at dawn in a bid to cut crowding.<br>- She switched platforms in a bid to reduce latency by 20 percent.<br>- The team met twice in a bid to meet the holiday deadline.	english_phrases natural_phrases level_4 natural phrase in_a_bid_to
en_phrase_217_in_this_context	level_4	in this context	In this context, urgent means within one hour, not one day.	"<span class=""target-phrase"">In this context</span>, urgent means within one hour, not one day."	The meaning depends on the current situation.	- In this context, urgent should route to the incident channel first.<br>- She used the word friend differently in this context than in a court setting.<br>- In this context, we need written confirmation, not just a verbal note.	english_phrases natural_phrases level_4 natural phrase in_this_context
en_phrase_218_in_that_context	level_4	in that context	In that context, the phrase sounded rude, so I adjusted my wording.	"<span class=""target-phrase"">In that context</span>, the phrase sounded rude, so I adjusted my wording."	In that specific setting, the meaning or tone is different.	- In that context, a direct no was the polite choice.<br>- The gesture was funny in one setting but offensive in that context.<br>- He agreed to the discount in that context, not in corporate meetings.	english_phrases natural_phrases level_4 natural phrase in_that_context
en_phrase_219_in_the_interest_of	level_4	in the interest of	They paused the rollout in the interest of customer safety.	"They paused the rollout <span class=""target-phrase"">in the interest of</span> customer safety."	Done because it benefits or protects the stated goal/person.	- The bank delayed marketing in the interest of avoiding misinformation.<br>- We moved seats in the interest of faster boarding for disabled passengers.<br>- The editor kept the claim out in the interest of factual accuracy.	english_phrases natural_phrases level_4 natural phrase in_the_interest_of
en_phrase_220_in_comparison	level_4	in comparison	In comparison, the green route is slower but significantly cheaper.	"<span class=""target-phrase"">In comparison</span>, the green route is slower but significantly cheaper."	When judging two options side by side on a general level.	- In comparison, the old model used more battery but had better battery life.<br>- In comparison with weekdays, weekends feel shorter when you travel far.<br>- The new policy is strict; in comparison, the old one was lenient.	english_phrases natural_phrases level_4 natural phrase in_comparison
en_phrase_221_in_comparison_to	level_4	in comparison to	In comparison to 2019, our response time is now half of what it was.	"<span class=""target-phrase"">In comparison to</span> 2019, our response time is now half of what it was."	Direct comparison between two specific items.	- In comparison to electric bikes, scooters were easier to maintain in this city.<br>- Her proposal is in comparison to mine more realistic but less bold.<br>- In comparison to local data, this benchmark looks surprisingly stable.	english_phrases natural_phrases level_4 natural phrase in_comparison_to
en_phrase_222_in_support_of	level_4	in support of	She argued in support of a lower deposit to increase enrollment.	"She argued <span class=""target-phrase"">in support of</span> a lower deposit to increase enrollment."	Expressed as backing or endorsement for a person/idea.	- The union voted in support of remote medical visits.<br>- A friend spoke in support of her during the review meeting.<br>- The city council supported the park expansion in support of commuters.	english_phrases natural_phrases level_4 natural phrase in_support_of
en_phrase_223_in_favor_of	level_4	in favor of	The team voted in favor of publishing the correction immediately.	"The team voted <span class=""target-phrase"">in favor of</span> publishing the correction immediately."	Expressing preference, agreement, or advocacy for something.	- The parents voted in favor of adding the workshop to the schedule.<br>- He stood in favor of the proposal after reading the numbers.<br>- We chose the cheaper option in favor of saving cash this quarter.	english_phrases natural_phrases level_4 natural phrase in_favor_of
en_phrase_224_in_opposition_to	level_4	in opposition to	The group spoke in opposition to the draft amendment.	"The group spoke <span class=""target-phrase"">in opposition to</span> the draft amendment."	Positioned against or disagreeing with a proposal.	- Students organized in opposition to the parking redesign.<br>- The committee is currently in opposition to the budget line item.<br>- She held a press note in opposition to the rumor and clarified facts.	english_phrases natural_phrases level_4 natural phrase in_opposition_to
en_phrase_225_in_opposition	level_4	in opposition	Our team is in opposition to moving the meeting to next week.	"Our team is <span class=""target-phrase"">in opposition</span> to moving the meeting to next week."	Being against a plan or idea.	- The union was in opposition when the contract language first came out.<br>- The board sat in opposition for a full five minutes before voting.<br>- Public comments in opposition pushed the team to revise the rollout.	english_phrases natural_phrases level_4 natural phrase in_opposition
en_phrase_226_in_the_face_of	level_4	in the face of	In the face of delays, she kept the timeline transparent.	"<span class=""target-phrase"">In the face of</span> delays, she kept the timeline transparent."	When facing pressure, difficulty, or adversity.	- In the face of criticism, the studio released a revised statement.<br>- We kept serving patients in the face of the storm blackout.<br>- The startup improved response speed in the face of rising demand.	english_phrases natural_phrases level_4 natural phrase in_the_face_of
en_phrase_227_out_of_context	level_4	out of context	The quote looked unfair because it was taken out of context.	"The quote looked unfair because it was taken <span class=""target-phrase"">out of context</span>."	Separated from the surrounding information needed to understand it fairly.	- The comment sounds rude out of context, but the full paragraph is polite.<br>- Don't judge the chart out of context; read the methodology first.<br>- A joke can be out of context and seem disrespectful online.	english_phrases natural_phrases level_4 natural phrase out_of_context
en_phrase_228_out_of_the_norm	level_4	out of the norm	The weather was out of the norm all week, so we postponed camping.	"The weather was <span class=""target-phrase"">out of the norm</span> all week, so we postponed camping."	Not typical or usual.	- His request was out of the norm, but still reasonable for the project.<br>- The spike in traffic was out of the norm for this quarter.<br>- She handled the late shipment out of the norm and called every vendor personally.	english_phrases natural_phrases level_4 natural phrase out_of_the_norm
en_phrase_229_out_of_bounds	level_4	out of bounds	Kids were told to stay out of bounds after dark.	"Kids were told to stay <span class=""target-phrase"">out of bounds</span> after dark."	Outside allowed limits, area, or accepted behavior.	- The proposal was out of bounds for the current approval stage.<br>- The comments became out of bounds during the negotiation and everyone paused.<br>- The script generated outputs out of bounds because validation failed.	english_phrases natural_phrases level_4 natural phrase out_of_bounds
en_phrase_230_out_of_hand	level_4	out of hand	The rumor spread out of hand after a single screenshot was shared.	"The rumor spread <span class=""target-phrase"">out of hand</span> after a single screenshot was shared."	Too serious or rapidly escalating beyond control.	- The rumor spread out of hand and we had to issue a correction.<br>- The argument went out of hand when the meeting ran overtime.<br>- Costs got out of hand during the holiday campaign without daily caps.	english_phrases natural_phrases level_4 natural phrase out_of_hand
en_phrase_231_out_of_place	level_4	out of place	The spare tire was left out of place at the rental office desk.	"The spare tire was left <span class=""target-phrase"">out of place</span> at the rental office desk."	Not in the correct location or situation.	- His sarcastic joke felt out of place at the memorial service.<br>- The charger was out of place, so we delayed the presentation until it was found.<br>- A luxury watch felt out of place at that casual potluck.	english_phrases natural_phrases level_4 natural phrase out_of_place
en_phrase_232_out_of_danger	level_4	out of danger	By Sunday, the hikers were out of danger and on the safe route.	"By Sunday, the hikers were <span class=""target-phrase"">out of danger</span> and on the safe route."	No longer in immediate risk or harm.	- The flood warning lifted once the village was out of danger.<br>- The team moved the old equipment out of danger during the leak.<br>- She felt out of danger and sent an update to relatives from safe ground.	english_phrases natural_phrases level_4 natural phrase out_of_danger
en_phrase_233_out_of_touch	level_4	out of touch	I've been out of touch with that branch since the office moved.	"I&#x27;ve been <span class=""target-phrase"">out of touch</span> with that branch since the office moved."	Not in regular contact or not aware of recent changes.	- Long-time clients can feel out of touch when projects pause too long.<br>- I stayed out of touch with my mentor while traveling abroad.<br>- The product manager was out of touch with support realities after leaving operations.	english_phrases natural_phrases level_4 natural phrase out_of_touch
en_phrase_234_out_of_focus	level_4	out of focus	The security cam was out of focus, so we reviewed another angle.	"The security cam was <span class=""target-phrase"">out of focus</span>, so we reviewed another angle."	Not clear or sharply directed, physically or metaphorically.	- The first pass through the video was out of focus and hard to read.<br>- Their argument became out of focus because no one was listening.<br>- The photo was beautiful but part of it went out of focus during edits.	english_phrases natural_phrases level_4 natural phrase out_of_focus
en_phrase_235_out_of_date	level_4	out of date	That map is out of date after the new one-way rules.	"That map is <span class=""target-phrase"">out of date</span> after the new one-way rules."	No longer current or up to date.	- The emergency phone list was out of date and nearly cost us five minutes.<br>- We replaced outdated guides that were out of date by last month.<br>- The chart was out of date, so the analyst rebuilt it before sharing.	english_phrases natural_phrases level_4 natural phrase out_of_date
en_phrase_236_out_of_commission	level_4	out of commission	The elevator stayed out of commission for three days after the storm.	"The elevator stayed <span class=""target-phrase"">out of commission</span> for three days after the storm."	Not usable for a time because of damage or failure.	- The copy machine was out of commission during enrollment week.<br>- The lab scanner went out of commission right before the clinic opened.<br>- Our old server stayed out of commission until the replacement arrived.	english_phrases natural_phrases level_4 natural phrase out_of_commission
en_phrase_237_over_the_years	level_4	over the years	Over the years, she documented every customer complaint and pattern.	"<span class=""target-phrase"">Over the years</span>, she documented every customer complaint and pattern."	Across a long period, often with gradual changes.	- Over the years, the team moved from spreadsheets to an internal dashboard.<br>- The neighborhood bakery changed from family-run to a franchise over the years.<br>- His fluency improved over the years through weekly conversations.	english_phrases natural_phrases level_4 natural phrase over_the_years
en_phrase_238_over_the_counter	level_4	over the counter	The cream can be bought over the counter in most pharmacies.	"The cream can be bought <span class=""target-phrase"">over the counter</span> in most pharmacies."	Available directly from a store counter in person.	- The medication is now sold over the counter instead of requiring a prescription.<br>- Customers asked for extra help over the counter before entering card details.<br>- We tested the fragrance in-store with a consultant over the counter.	english_phrases natural_phrases level_4 natural phrase over_the_counter
en_phrase_239_over_the_fence	level_4	over the fence	The kids shouted hello over the fence when they finished class.	"The kids shouted hello <span class=""target-phrase"">over the fence</span> when they finished class."	Across a boundary to another side, often socially or physically.	- The idea traveled over the fence from one team to another by mistake.<br>- He passed the garden tools over the fence instead of walking around.<br>- The club started partnering with the school after talking over the fence at one event.	english_phrases natural_phrases level_4 natural phrase over_the_fence
en_phrase_240_over_the_moon	level_4	over the moon	She was over the moon after hearing she received the scholarship.	"She was <span class=""target-phrase"">over the moon</span> after hearing she received the scholarship."	Extremely happy and delighted.	- The class was over the moon when the field trip was approved.<br>- He looked over the moon after fixing the long-standing bug.<br>- She was over the moon when the first draft was accepted.	english_phrases natural_phrases level_4 natural phrase over_the_moon
en_phrase_241_at_your_earliest_convenience	level_5	at your earliest convenience	Please review the draft contract and send your comments at your earliest convenience.	"Please review the draft contract and send your comments at your earliest <span class=""target-phrase"">convenience</span>."	Used in polite requests for a quick response, without sounding pushy.	- The lawyer needs your feedback at your earliest convenience before we file the version.<br>- Please send the signed copy at your earliest convenience so payroll can process it.<br>- If possible, can you approve the vendor list at your earliest convenience?	english_phrases natural_phrases level_5 natural phrase at_your_earliest_convenience
en_phrase_242_in_the_pipeline	level_5	in the pipeline	The new onboarding module is in the pipeline for next quarter.	"The new onboarding module is <span class=""target-phrase"">in the pipeline</span> for next quarter."	Something that is planned and actively being prepared for release.	- The data-cleaning feature is in the pipeline after the security audit finishes.<br>- The second language pack is in the pipeline and will launch after onboarding.<br>- A full mobile refresh has been in the pipeline since last December.	english_phrases natural_phrases level_5 natural phrase in_the_pipeline
en_phrase_243_in_the_near_future	level_5	in the near future	We expect a new reporting standard in the near future.	"We expect a new reporting standard <span class=""target-phrase"">in the near future</span>."	Something likely to happen soon, not immediately.	- The team will revisit pricing in the near future.<br>- We may add multilingual support in the near future once feedback stabilizes.<br>- The committee said there is no immediate change, but in the near future we could reduce meetings.	english_phrases natural_phrases level_5 natural phrase in_the_near_future
en_phrase_244_in_the_broader_sense	level_5	in the broader sense	The policy is unfair in the broader sense, even if it is legal.	"The policy is unfair <span class=""target-phrase"">in the broader sense</span>, even if it is legal."	Considering a wider general meaning rather than a narrow detail.	- In the broader sense, the change is about trust, not just wording.<br>- The training had value in the broader sense by improving confidence across teams.<br>- Measured in the broader sense, service quality includes response time and empathy.	english_phrases natural_phrases level_5 natural phrase in_the_broader_sense
en_phrase_245_on_the_same_footing	level_5	on the same footing	Both teams are on the same footing in budget negotiations.	"Both teams are <span class=""target-phrase"">on the same footing</span> in budget negotiations."	Having equal standing or equal rights in a discussion.	- The supplier and the client are on the same footing after the revised contract terms.<br>- HR and engineering were finally on the same footing about the remote work policy.<br>- The process is now on the same footing through transparent reporting.	english_phrases natural_phrases level_5 natural phrase on_the_same_footing
en_phrase_246_under_direct_supervision	level_5	under direct supervision	The trainee works under direct supervision during live operations.	"The trainee works <span class=""target-phrase"">under direct supervision</span> during live operations."	Closely overseen by a responsible person or manager.	- She completed the first live release under direct supervision.<br>- The lab team stays under direct supervision near high-voltage equipment.<br>- The intern edits posts under direct supervision before publishing.	english_phrases natural_phrases level_5 natural phrase under_direct_supervision
en_phrase_247_under_a_tight_deadline	level_5	under a tight deadline	The release ran under a tight deadline after the outage.	"The release ran <span class=""target-phrase"">under a tight deadline</span> after the outage."	Needing to complete something with very limited time.	- The compliance team filed reports under a tight deadline with only two days left.<br>- Marketing approved the campaign under a tight deadline before the event.<br>- The engineer shipped a minimal patch under a tight deadline.	english_phrases natural_phrases level_5 natural phrase under_a_tight_deadline
en_phrase_248_under_contract	level_5	under contract	Our lead designer is under contract until year-end.	"Our lead designer is <span class=""target-phrase"">under contract</span> until year-end."	Working under a formal agreement with defined obligations.	- The specialist is under contract with the agency, not freelance.<br>- The building is under contract for maintenance service through the winter.<br>- She stayed under contract until the transition phase ended.	english_phrases natural_phrases level_5 natural phrase under_contract
en_phrase_249_under_scrutiny	level_5	under scrutiny	The merger proposal is under scrutiny by regulators.	"The merger proposal is <span class=""target-phrase"">under scrutiny</span> by regulators."	Being closely examined or questioned.	- The finance team was under scrutiny after a spike in reimbursements.<br>- Every ad claim is under scrutiny during the annual audit.<br>- The security design is under scrutiny since users reported suspicious access.	english_phrases natural_phrases level_5 natural phrase under_scrutiny
en_phrase_250_in_the_spotlight	level_5	in the spotlight	The brand landed in the spotlight after the product leak.	"The brand landed <span class=""target-phrase"">in the spotlight</span> after the product leak."	Receiving intense public attention.	- The startup entered the spotlight when the issue affected thousands of users.<br>- The founder stayed in the spotlight during the conference Q&A.<br>- Our support line was suddenly in the spotlight after a regional outage.	english_phrases natural_phrases level_5 natural phrase in_the_spotlight
en_phrase_251_off_the_hook	level_5	off the hook	After paying the deposit, the event organizer was off the hook.	"After paying the deposit, the event organizer was <span class=""target-phrase"">off the hook</span>."	No longer responsible for blame or obligation.	- The technician was off the hook once logs showed the server outage was external.<br>- The team is off the hook for prior quarter penalties after reconciliation.<br>- After the contract amendment, our sponsor is off the hook for late shipping fees.	english_phrases natural_phrases level_5 natural phrase off_the_hook
en_phrase_252_off_the_radar	level_5	off the radar	The old integration slipped off the radar during release planning.	"The old integration slipped <span class=""target-phrase"">off the radar</span> during release planning."	Not currently noticed or tracked.	- The accessibility request went off the radar for two weeks.<br>- That migration risk was off the radar until the partner raised it in standup.<br>- We can't keep pricing concerns off the radar after customer complaints.	english_phrases natural_phrases level_5 natural phrase off_the_radar
en_phrase_253_over_the_course_of	level_5	over the course of	The team improved uptime over the course of six months.	"The team improved uptime <span class=""target-phrase"">over the course of</span> six months."	Across a period of time, from beginning to end.	- Over the course of the year, user errors dropped by half.<br>- They tracked complaints over the course of three interviews.<br>- Revenue recovered over the course of the rollout period.	english_phrases natural_phrases level_5 natural phrase over_the_course_of
en_phrase_254_out_of_the_box	level_5	out of the box	The startup built a loyalty program out of the box with no template.	"The startup built a loyalty program <span class=""target-phrase"">out of the box</span> with no template."	Using novel or unconventional methods.	- The designer proposed an out of the box approach that reduced clicks.<br>- We need an out of the box pricing idea for this small account.<br>- The analytics dashboard was out of the box and solved a hidden bottleneck.	english_phrases natural_phrases level_5 natural phrase out_of_the_box
en_phrase_255_out_of_scope	level_5	out of scope	That analytics request is out of scope for this sprint.	"That analytics request is <span class=""target-phrase"">out of scope</span> for this sprint."	Not included in the agreed work boundaries.	- The team marked the chatbot redesign out of scope until after launch.<br>- Hiring automation is out of scope for the internal pilot phase.<br>- Cost estimates excluded legal edits because they are out of scope.	english_phrases natural_phrases level_5 natural phrase out_of_scope
en_phrase_256_out_of_the_gate	level_5	out of the gate	Our support bot performed well out of the gate.	"Our support bot performed well <span class=""target-phrase"">out of the gate</span>."	From the starting point or very beginning.	- The campaign did out of the gate better than expected with a strong first-day sign-up rate.<br>- The team hit a stable build out of the gate after onboarding.<br>- The new office functioned out of the gate with minimal downtime.	english_phrases natural_phrases level_5 natural phrase out_of_the_gate
en_phrase_257_out_of_the_loop	level_5	out of the loop	You're out of the loop on the new procurement process.	"You&#x27;re <span class=""target-phrase"">out of the loop</span> on the new procurement process."	Not up to date with current information.	- The regional team was out of the loop until the manager shared the memo.<br>- She had been out of the loop after returning from leave that day.<br>- I should not stay out of the loop when legal changes happen.	english_phrases natural_phrases level_5 natural phrase out_of_the_loop
en_phrase_258_ahead_of_schedule	level_5	ahead of schedule	The migration finished ahead of schedule by two days.	"The migration finished <span class=""target-phrase"">ahead of schedule</span> by two days."	Completed earlier than planned.	- We shipped the feature set ahead of schedule and kept the old queue for testing.<br>- The renovation was ahead of schedule, so QA started earlier.<br>- The team published the whitepaper ahead of schedule.	english_phrases natural_phrases level_5 natural phrase ahead_of_schedule
en_phrase_259_ahead_of_the_pack	level_5	ahead of the pack	Their response times are ahead of the pack across the region.	"Their response times are <span class=""target-phrase"">ahead of the pack</span> across the region."	Performing better than most peers or competitors.	- The team's accessibility score is ahead of the pack this quarter.<br>- Our dashboard is ahead of the pack in loading speed.<br>- The candidate scored ahead of the pack in both coding and communication rounds.	english_phrases natural_phrases level_5 natural phrase ahead_of_the_pack
en_phrase_260_ahead_of_the_market	level_5	ahead of the market	The pricing team built an offer ahead of the market this quarter.	"The pricing team built an offer <span class=""target-phrase"">ahead of the market</span> this quarter."	More advanced or superior compared with industry peers.	- The startup positioned itself ahead of the market by adding multilingual onboarding.<br>- Our forecasting model is ahead of the market and reduced errors significantly.<br>- The clinic is ahead of the market in patient follow-up speed.	english_phrases natural_phrases level_5 natural phrase ahead_of_the_market
en_phrase_261_in_the_red	level_5	in the red	The account is in the red after the failed campaign.	"The account is <span class=""target-phrase"">in the red</span> after the failed campaign."	Operating with a negative financial balance.	- The team moved in the red by 12,000 units during one quarter.<br>- The region is in the red on support cost this month.<br>- The project was in the red before the sponsor approved scope.	english_phrases natural_phrases level_5 natural phrase in_the_red
en_phrase_262_in_the_black	level_5	in the black	The company returned in the black after debt restructuring.	"The company returned <span class=""target-phrase"">in the black</span> after debt restructuring."	Operating with positive profit or without deficit.	- The product line is in the black this quarter for the first time in a year.<br>- After subscriptions recovered, cash flow moved in the black.<br>- The pilot ended in the black thanks to a low churn rate.	english_phrases natural_phrases level_5 natural phrase in_the_black
en_phrase_263_on_a_level_playing_field	level_5	on a level playing field	The new policy put small vendors on a level playing field.	"The new policy put small vendors <span class=""target-phrase"">on a level playing field</span>."	A fair context where conditions are equal for everyone.	- Grant review used on a level playing field for public and private schools.<br>- Procurement used a scorecard on a level playing field to avoid bias.<br>- The new bidding process put both teams on a level playing field.	english_phrases natural_phrases level_5 natural phrase on_a_level_playing_field
en_phrase_264_on_the_books	level_5	on the books	The rollout date is on the books for Monday.	"The rollout date is <span class=""target-phrase"">on the books</span> for Monday."	Officially recorded as approved or planned.	- The contract renewal is on the books and awaiting signatures.<br>- The office expansion stayed on the books through two reporting cycles.<br>- Extra shifts are on the books only for emergency support.	english_phrases natural_phrases level_5 natural phrase on_the_books
